PSU Readback Voltage,PSU Readback Current,PSU Voltage Set,Load Current Set,DMM Voltage Measured,key,Programming/Voltage Absolute Error (V),Relative/Voltage Percentage Error (%),PSU Readback Voltage Error (V),PSU Readback Voltage Percentage Error (%)
2.999226,4.999268,3.0,5.0,2.99899389,4,-0.00100611000000006,-0.00100611000000006,0.00023211000000022963,0.00023211000000022963
3.999412,4.999268,4.0,5.0,3.99947343,4,-0.000526569999999893,-0.000526569999999893,-6.143000000013998e-05,-6.143000000013998e-05
4.999619,4.999268,5.0,5.0,4.99989066,4,-0.00010933999999984678,-0.00010933999999984678,-0.0002716600000001179,-0.0002716600000001179
5.999847,4.999268,6.0,5.0,6.00032342,4,0.0003234199999999632,0.0003234199999999632,-0.00047642000000003293,-0.00047642000000003293
6.998078,4.999268,7.0,5.0,6.99889102,4,-0.001108979999999704,-0.001108979999999704,-0.0008130200000007193,-0.0008130200000007193
7.998348,4.999593,8.0,5.0,7.9994866,4,-0.0005133999999999972,-0.0005133999999999972,-0.0011385999999999896,-0.0011385999999999896
8.999648,4.999268,9.0,5.0,8.99992841,4,-7.15899999992331e-05,-7.15899999992331e-05,-0.00028041000000023075,-0.00028041000000023075
9.997941,4.999268,10.0,5.0,9.99856863,4,-0.001431370000000598,-0.001431370000000598,-0.0006276299999985469,-0.0006276299999985469
10.99827,4.999268,11.0,5.0,10.9991171,4,-0.0008829000000005749,-0.0008829000000005749,-0.0008470999999996565,-0.0008470999999996565
11.99964,4.999268,12.0,5.0,11.9997533,4,-0.0002466999999999331,-0.0002466999999999331,-0.00011330000000064899,-0.00011330000000064899
13.00001,4.999268,13.0,5.0,13.0006632,4,0.0006631999999999749,0.0006631999999999749,-0.0006532000000003535,-0.0006532000000003535
13.99839,4.999268,14.0,5.0,13.9992681,4,-0.0007318999999998965,-0.0007318999999998965,-0.0008780999999995487,-0.0008780999999995487
14.99982,4.999268,15.0,5.0,14.9998366,4,-0.00016339999999992472,-0.00016339999999992472,-1.6600000000366322e-05,-1.6600000000366322e-05
16.00026,4.999268,16.0,5.0,16.0004248,4,0.0004248000000011132,0.0004248000000011132,-0.00016480000000029804,-0.00016480000000029804
16.9987,4.999268,17.0,5.0,16.9991527,4,-0.0008473000000002173,-0.0008473000000002173,-0.00045270000000030564,-0.00045270000000030564
18.00019,4.999268,18.0,5.0,17.9995747,4,-0.0004252999999998508,-0.0004252999999998508,0.0006152999999997633,0.0006152999999997633
18.99968,4.999268,19.0,5.0,19.0001052,4,0.00010520000000013852,0.00010520000000013852,-0.0004251999999986822,-0.0004251999999986822
20.00121,4.999268,20.0,5.0,20.0007399,4,0.0007398999999992384,0.0007398999999992384,0.00047010000000113905,0.00047010000000113905
20.99973,4.999268,21.0,5.0,20.9992788,4,-0.0007212000000009766,-0.0007212000000009766,0.00045120000000054006,0.00045120000000054006
22.0003,4.999268,22.0,5.0,21.9998659,4,-0.00013410000000035893,-0.00013410000000035893,0.00043409999999965976,0.00043409999999965976
23.00089,4.999268,23.0,5.0,23.0002797,4,0.00027970000000010486,0.00027970000000010486,0.0006102999999981762,0.0006102999999981762
23.99947,4.999268,24.0,5.0,23.9989109,4,-0.0010891000000015083,-0.0010891000000015083,0.0005591000000002566,0.0005591000000002566
25.0001,4.999268,25.0,5.0,24.9994584,4,-0.0005415999999982546,-0.0005415999999982546,0.0006415999999980215,0.0006415999999980215
26.00176,4.999268,26.0,5.0,25.9999905,4,-9.500000000883801e-06,-9.500000000883801e-06,0.0017695000000017558,0.0017695000000017558
27.00243,4.999268,27.0,5.0,27.0005736,4,0.0005735999999991748,0.0005735999999991748,0.0018564000000012015,0.0018564000000012015
28.0011,4.999268,28.0,5.0,27.999319,4,-0.0006810000000001537,-0.0006810000000001537,0.0017810000000011428,0.0017810000000011428
29.00181,4.999268,29.0,5.0,28.9998693,4,-0.00013069999999970605,-0.00013069999999970605,0.0019406999999986851,0.0019406999999986851
30.00254,4.999268,30.0,5.0,30.0005241,4,0.0005240999999998053,0.0005240999999998053,0.0020158999999999594,0.0020158999999999594
31.00431,4.999268,31.0,5.0,31.0010767,4,0.0010766999999987092,0.0010766999999987092,0.003233300000001549,0.003233300000001549
32.00306,4.999268,32.0,5.0,31.9998738,4,-0.00012620000000040932,-0.00012620000000040932,0.0031861999999982515,0.0031861999999982515
1.000936,5.999935,1.0,6.0,1.0002599,5,0.0002599000000000906,0.0002599000000000906,0.0006760999999999573,0.0006760999999999573
2.000071,5.999935,2.0,6.0,2.00046423,5,0.0004642299999999544,0.0004642299999999544,-0.00039322999999980013,-0.00039322999999980013
2.999226,5.999935,3.0,6.0,2.99898927,5,-0.0010107299999999597,-0.0010107299999999597,0.00023673000000012934,0.00023673000000012934
3.999412,5.999935,4.0,6.0,3.99938489,5,-0.0006151100000000298,-0.0006151100000000298,2.710999999999686e-05,2.710999999999686e-05
4.999619,6.00026,5.0,6.0,4.999833,5,-0.00016700000000025028,-0.00016700000000025028,-0.00021399999999971442,-0.00021399999999971442
5.999847,6.00026,6.0,6.0,6.00031411,5,0.000314109999999701,0.000314109999999701,-0.00046710999999977076,-0.00046710999999977076
6.998078,6.00026,7.0,6.0,6.99886976,5,-0.001130240000000171,-0.001130240000000171,-0.0007917600000002523,-0.0007917600000002523
7.998348,5.999935,8.0,6.0,7.99937762,5,-0.0006223800000002555,-0.0006223800000002555,-0.0010296199999997313,-0.0010296199999997313
8.999648,6.00026,9.0,6.0,8.99989554,5,-0.00010445999999930677,-0.00010445999999930677,-0.0002475400000001571,-0.0002475400000001571
9.997941,5.999935,10.0,6.0,9.99856148,5,-0.0014385200000006648,-0.0014385200000006648,-0.00062047999999848,-0.00062047999999848
10.99827,5.999935,11.0,6.0,10.9991376,5,-0.0008624000000008181,-0.0008624000000008181,-0.0008675999999994133,-0.0008675999999994133
11.99964,5.999935,12.0,6.0,11.9996955,5,-0.0003045000000003739,-0.0003045000000003739,-5.550000000020816e-05,-5.550000000020816e-05
13.00001,5.999935,13.0,6.0,13.0005517,5,0.000551700000000821,0.000551700000000821,-0.0005417000000011996,-0.0005417000000011996
13.99839,5.999935,14.0,6.0,13.9991506,5,-0.0008493999999998891,-0.0008493999999998891,-0.0007605999999995561,-0.0007605999999995561
14.99881,6.00026,15.0,6.0,14.9997406,5,-0.00025939999999913255,-0.00025939999999913255,-0.0009306000000002257,-0.0009306000000002257
16.00026,5.999935,16.0,6.0,16.0003053,5,0.000305300000000841,0.000305300000000841,-4.5300000000025875e-05,-4.5300000000025875e-05
16.9987,5.999935,17.0,6.0,16.9990375,5,-0.0009624999999999773,-0.0009624999999999773,-0.0003375000000005457,-0.0003375000000005457
17.99918,6.00026,18.0,6.0,17.9995742,5,-0.0004257999999985884,-0.0004257999999985884,-0.0003942000000023427,-0.0003942000000023427
18.99968,6.00026,19.0,6.0,19.0000854,5,8.539999999968018e-05,8.539999999968018e-05,-0.00040539999999822385,-0.00040539999999822385
20.00121,5.999935,20.0,6.0,20.0005902,5,0.0005902000000013174,0.0005902000000013174,0.00061979999999906,0.00061979999999906
